id;Date;Aéroport_départ;depart_x;depart_y;Aéroport_Destination;destination_x;destination_y;départ_IATA;destination_IATA;Heurelocale;HeureArrivé;Durée_trajet;Compagnie;Num_Vol;Prix_Camp1;
103;2021-04-23;Aeropuerto de Adolfo Suárez Madrid-Barajas;40.49848719017528;-3.5676196599853203;Amsterdam Airport Schiphol;52.315831708548586;4.771203370264353;MAD;AMS;07:35;10:10;02:35;KLM;KL1698;60;
104;2021-04-23;Aeropuerto de Adolfo Suárez Madrid-Barajas;40.49848719017528;-3.5676196599853203;Heathrow Airport;51.47397190914563;-0.4547353841720964;MAD;LHR;08:30;10:50;02:20;Iberia;IB3170;80;
105;2021-04-23;Aeropuerto de Adolfo Suárez Madrid-Barajas;40.49848719017528;-3.5676196599853203;Flughafen Frankfurt/Main;50.04636632467995;8.561325677686595;MAD;FRA;11:05;13:50;02:45;Lufthansa;LH1123;50;
106;2021-04-23;Aeropuerto de Adolfo Suárez Madrid-Barajas;40.49848719017528;-3.5676196599853203;Flughafen Frankfurt/Main;50.04636632467995;8.561325677686595;MAD;FRA;12:20;14:55;02:35;Lufthansa;LH511;30;
107;2021-04-23;Aeropuerto de Adolfo Suárez Madrid-Barajas;40.49848719017528;-3.5676196599853203;Aéroport de Paris-Charles de Gaulle;49.0142434999854;2.544806865954252;MAD;CDG;12:50;15:00;02:10;Air France;AF1301;80;
108;2021-04-23;Aeropuerto de Adolfo Suárez Madrid-Barajas;40.49848719017528;-3.5676196599853203;Amsterdam Airport Schiphol;52.315831708548586;4.771203370264353;MAD;AMS;15:00;17:35;02:35;KLM;KL1702;62;
109;2021-04-23;Aeropuerto de Adolfo Suárez Madrid-Barajas;40.49848719017528;-3.5676196599853203;Amsterdam Airport Schiphol;52.315831708548586;4.771203370264353;MAD;AMS;15:10;17:40;02:30;Air Europa;UX1093;59;
110;2021-04-23;Aeropuerto de Adolfo Suárez Madrid-Barajas;40.49848719017528;-3.5676196599853203;Flughafen Frankfurt/Main;50.04636632467995;8.561325677686595;MAD;FRA;15:45;18:30;02:45;Air Europa;UX1509;37;
111;2021-04-23;Aeropuerto de Adolfo Suárez Madrid-Barajas;40.49848719017528;-3.5676196599853203;Heathrow Airport;51.47397190914563;-0.4547353841720964;MAD;LHR;16:15;18:35;02:20;Iberia;IB3166;79;
112;2021-04-23;Aeropuerto de Adolfo Suárez Madrid-Barajas;40.49848719017528;-3.5676196599853203;Flughafen Frankfurt/Main;50.04636632467995;8.561325677686595;MAD;FRA;16:20;18:58;02:38;Iberia;IB3130;49;
113;2021-04-23;Aeropuerto de Adolfo Suárez Madrid-Barajas;40.49848719017528;-3.5676196599853203;Flughafen Frankfurt/Main;50.04636632467995;8.561325677686595;MAD;FRA;16:20;19:00;02:40;British Airways;BA9045;31;
114;2021-04-23;Aeropuerto de Adolfo Suárez Madrid-Barajas;40.49848719017528;-3.5676196599853203;Flughafen Frankfurt/Main;50.04636632467995;8.561325677686595;MAD;FRA;16:55;19:45;02:50;Iberia;IB9045;38;
115;2021-04-23;Aeropuerto de Adolfo Suárez Madrid-Barajas;40.49848719017528;-3.5676196599853203;Flughafen Frankfurt/Main;50.04636632467995;8.561325677686595;MAD;FRA;17:10;19:55;02:45;Lufthansa;LH1115;52;
116;2021-04-23;Aeropuerto de Adolfo Suárez Madrid-Barajas;40.49848719017528;-3.5676196599853203;Amsterdam Airport Schiphol;52.315831708548586;4.771203370264353;MAD;AMS;17:50;20:25;02:35;KLM;KL1704;60;
117;2021-04-23;Aeropuerto de Adolfo Suárez Madrid-Barajas;40.49848719017528;-3.5676196599853203;Aéroport de Moscou-Cheremetievo;55.9741553226849;37.412529654098726;MAD;SVO;00:55;03:20;02:25;AirBridgeCargo Airlines;RU460;300;
118;2021-04-23;Cairo International Airport;30.111387712189778;31.387836926213836;Flughafen Frankfurt/Main;50.04636632467995;8.561325677686595;CAI;FRA;00:55;05:41;04:46;Lufthansa;LH581;250;
119;2021-04-23;Cairo International Airport;30.111387712189778;31.387836926213836;Flughafen Frankfurt/Main;50.04636632467995;8.561325677686595;CAI;FRA;00:55;05:35;04:40;Air Canada;AC9599;190;
120;2021-04-23;Cairo International Airport;30.111387712189778;31.387836926213836;Flughafen Frankfurt/Main;50.04636632467995;8.561325677686595;CAI;FRA;00:55;05:37;04:42;Egyptair;MS9001;198;
121;2021-04-23;Cairo International Airport;30.111387712189778;31.387836926213836;Flughafen Frankfurt/Main;50.04636632467995;8.561325677686595;CAI;FRA;01:40;06:25;04:45;United Airlines;UA9025;200;
122;2021-04-23;Cairo International Airport;30.111387712189778;31.387836926213836;Aéroport de Moscou-Cheremetievo;55.9741553226849;37.412529654098726;CAI;SVO;01:55;06:25;04:30;Aeroflot;SU401;300;
123;2021-04-23;Cairo International Airport;30.111387712189778;31.387836926213836;Aéroport de Paris-Charles de Gaulle;49.0142434999854;2.544806865954252;CAI;CDG;08:00;12:45;04:45;Air France;AF551;175;
124;2021-04-23;Cairo International Airport;30.111387712189778;31.387836926213836;Heathrow Airport;51.47397190914563;-0.4547353841720964;CAI;LHR;09:40;14:10;04:40;British Airways;BA401;207;
